title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
educaciï¿½ï¿½nï¿½ï¿½sobre el cambio cl;23253.0;inter-american development bank;introductory;education & teacher training;es;10 weeks;25.0;usd;https://www.edx.org/course/educacion-sobre-el-cambio-climatico;;;;;
quantum mechanics: a first course;;massachusetts institute of technology;advanced;physics;en;18 weeks;149.0;usd;https://www.edx.org/course/quantum-mechanics-a-first-course;;;;;
urban sewage treatment;40408.0;delft university of technology;intermediate;engineering;en;7 weeks;50.0;usd;https://www.edx.org/course/urban-sewage-treatment-2;;;;;
doing gender and why it matters;6826.0;university of hong kong;introductory;social sciences;en;6 weeks;99.0;usd;https://www.edx.org/course/doing-gender-and-why-it-matters;;;;;
producciï¿½ï¿½n musical y su efecto en la composic;7869.0;berklee college of music;introductory;music;es;6 weeks;49.0;usd;https://www.edx.org/course/produccion-musical-y-su-efecto-en-la-composicion-2;;;;;
principle of semiconductor devices part i: semiconductors; pn junctions and bipolar junction transistors;12425.0;the hong kong university of science and technology;intermediate;electronics;en;8 weeks;70.0;usd;https://www.edx.org/course/principle-of-semiconductor-devices-part-i-semicond;;;;
19th-century opera: meyerbeer; wagner; & verdi;9340.0;harvard university;introductory;music;en;6 weeks;99.0;usd;https://www.edx.org/course/19th-century-opera-meyerbeer-wagner-verdi;;;
modelos predictivos con machine learning;5102.0;universidades anï¿½ï¿½;intermediate;computer science;es;4 weeks;49.0;usd;https://www.edx.org/course/modelos-predictivos-con-machine-learning;;;;;
quantitative marketing research;;indian institute of management bangalore;introductory;business & management;en;5 weeks;50.0;usd;https://www.edx.org/course/quantitative-marketing-research;;;;;
les fondements de la stratï¿½ï¿½gie dï¿½ï¿½ï¿½;33021.0;universitï¿½ï¿½ catholique de lou;introductory;business & management;fr;10 weeks;150.0;usd;https://www.edx.org/course/les-fondements-de-la-strategie-dentreprise-2;;;;;
solar energy: integration of photovoltaic systems in microgrids;20068.0;delft university of technology;advanced;engineering;en;9 weeks;250.0;usd;https://www.edx.org/course/solar-energy-integration-of-photovoltaic-systems-i;;;;;
automated software testing: unit testing; coverage criteria and design for testability;12630.0;delft university of technology;intermediate;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/automated-software-testing-unit-testing-coverage-2;;;;
probability and statistics i:  a gentle introduction to probability;;the georgia institute of technology;intermediate;data analysis & statistics;en;3 weeks;199.0;usd;https://www.edx.org/course/probability-and-statistics-i-a-gentle-introduction-to-probability;;;;;
introducciï¿½ï¿½n a las ecuaciones diferenci;9868.0;universidad galileo;intermediate;math;es;7 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-las-ecuaciones-diferenciales;;;;;
agile mindset introduction;;rolls-royce;introductory;data analysis & statistics;en;2 weeks;49.0;usd;https://www.edx.org/course/agile-mindset-introduction;;;;;
tropical coastal ecosystems;23031.0;the university of queensland;introductory;biology & life sciences;en;9 weeks;99.0;usd;https://www.edx.org/course/tropical-coastal-ecosystems;;;;;
modern chinaï¿½ï¿½ï¿½s foundations: the manchus and th;47166.0;harvard university;introductory;history;en;15 weeks;139.0;usd;https://www.edx.org/course/modern-chinas-foundations-the-manchus-and-the-qing;;;;;
el mï¿½ï¿½todo de ciencia de d;;ibm;introductory;data analysis & statistics;es;7 weeks;39.0;usd;https://www.edx.org/course/el-metodo-de-ciencia-de-datos;;;;;
aws developer: deploying on aws;25244.0;amazon web services;advanced;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/aws-developer-deploying-on-aws;;;;;
autonomous mobile robots;62362.0;eth zurich;intermediate;computer science;en;15 weeks;50.0;usd;https://www.edx.org/course/autonomous-mobile-robots;;;;;
gestiï¿½ï¿½n por resultados para gobiernos subnacion;65955.0;inter-american development bank;introductory;business & management;es;10 weeks;25.0;usd;https://www.edx.org/course/gestion-por-resultados-para-gobiernos-subnacionale;;;;;
introduction to sociology;10412.0;the university of texas of the permian basin;introductory;social sciences;en;6 weeks;139.0;usd;https://www.edx.org/course/introduction-to-sociology;;;;;
transformaciï¿½ï¿½n digital en las empr;;pontificia universidad javeriana;introductory;business & management;es;7 weeks;49.0;usd;https://www.edx.org/course/transformacion-digital-en-las-empresas;;;;;
desafios e oportunidades na economia digital;6913.0;inter-american development bank;introductory;economics & finance;pt;10 weeks;25.0;usd;https://www.edx.org/course/desafios-e-oportunidades-na-economia-digital;;;;;
cellular solids part 1: structures; properties and engineering applications;7186.0;massachusetts institute of technology;advanced;engineering;en;9 weeks;99.0;usd;https://www.edx.org/course/cellular-solids-part-1-structures-properties-and-e;;;;
introduction to statistical methods for gene mapping;15419.0;kyoto university;advanced;data analysis & statistics;en;4 weeks;49.0;usd;https://www.edx.org/course/introduction-to-statistical-methods-for-gene-mappi;;;;;
cï¿½ï¿½mo vivir una vida saludable y ac;8990.0;universidad autï¿½ï¿½noma de ma;introductory;social sciences;es;5 weeks;49.0;usd;https://www.edx.org/course/como-vivir-una-vida-saludable-y-activa;;;;;
mandarin chinese level 3;8418.0;mandarinx;intermediate;language;en;6 weeks;149.0;usd;https://www.edx.org/course/mandarin-chinese-level-3;;;;;
databases: advanced topics in sql;;stanford university;introductory;computer science;en;2 weeks;50.0;usd;https://www.edx.org/course/advanced-topics-in-sql;;;;;
data for effective policy making;13797.0;inter-american development bank;introductory;math;en;10 weeks;25.0;usd;https://www.edx.org/course/data-for-effective-policy-making;;;;;
c programming: using linux tools and libraries;13912.0;dartmouth_imtx-dartmouth college-imt;intermediate;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/c-programming-using-linux-tools-and-libraries;;;;;
lernen objekt-orientierter programmierung;10657.0;technische universitï¿½ï¿½t mï¿½;introductory;computer science;de;6 weeks;49.0;usd;https://www.edx.org/course/lernen-objekt-orientierter-programmierung;;;;;
cybersecurity: the ciso's view;21507.0;university of washington;introductory;computer science;en;6 weeks;199.0;usd;https://www.edx.org/course/cybersecurity-the-cisos-view;;;;;
fundamentals of java ee development;10129.0;red hat;intermediate;computer science;en;7 weeks;99.0;usd;https://www.edx.org/course/fundamentals-of-java-ee-development;;;;;
instructional design: digital media; new tools and technology;16419.0;university system of maryland-university of maryland global campus;intermediate;education & teacher training;en;8 weeks;299.0;usd;https://www.edx.org/course/instructional-design-digital-media-new-tools-and-2;;;;
molecular biology ï¿½ï¿½ï¿½ part 3: rna processing and trans;16520.0;massachusetts institute of technology;advanced;biology & life sciences;en;8 weeks;99.0;usd;https://www.edx.org/course/molecular-biology-part-3-rna-processing-and-transl;;;;;
power and responsibility: doing philosophy with superheroes;8517.0;the smithsonian institution;introductory;art & culture;en;5 weeks;49.0;usd;https://www.edx.org/course/power-and-responsibility-doing-philosophy-with-sup;;;;;
aprendizaje automï¿½ï¿½tico y ciencia de d;13994.0;universitat politï¿½ï¿½cnica de vale;intermediate;computer science;es;5 weeks;50.0;usd;https://www.edx.org/course/aprendizaje-automatico-y-ciencia-de-datos;;;;;
sustainable urban freight transport: a global perspective;7769.0;delft university of technology;introductory;engineering;en;5 weeks;50.0;usd;https://www.edx.org/course/sustainable-urban-freight-transport-a-global-persp;;;;;
mathtrackx: statistics;;university of adelaide;introductory;math;en;4 weeks;79.0;usd;https://www.edx.org/course/mathtrackx-statistics;;;;;
tï¿½ï¿½cnicas cuantitativas y cualitativas para la investigac;29885.0;universitat politï¿½ï¿½cnica de vale;intermediate;data analysis & statistics;es;6 weeks;65.0;usd;https://www.edx.org/course/tecnicas-cuantitativas-y-cualitativas-para-la-inve;;;;;
strategic applications of it project & program management;17914.0;university of washington;introductory;business & management;en;6 weeks;199.0;usd;https://www.edx.org/course/strategic-applications-of-it-project-program-manag;;;;;
advanced bioconductor;26063.0;harvard university;advanced;data analysis & statistics;en;4 weeks;149.0;usd;https://www.edx.org/course/advanced-bioconductor;;;;;
what every provider should know: clinical fundamentals;;stanford university;introductory;medicine;en;10 weeks;50.0;usd;https://www.edx.org/course/what-every-provider-should-know-clinical-fundamentals;;;;;
anï¿½ï¿½lisis e interpretaciï¿½ï¿½n de informaciï¿½ï¿½n econï¿½ï¿½m;5891.0;pontificia universidad javeriana;intermediate;economics & finance;es;5 weeks;49.0;usd;https://www.edx.org/course/analisis-e-interpretacion-de-informacion-economica;;;;;
aws iot: developing and deploying an internet of things;8884.0;amazon web services;intermediate;computer science;en;4 weeks;99.0;usd;https://www.edx.org/course/aws-iot-developing-and-deploying-an-internet-of-th;;;;;
measuring sustainable development;;sdg academy;intermediate;data analysis & statistics;en;5 weeks;25.0;usd;https://www.edx.org/course/measuring-sustainable-development;;;;;
embedded systems - shape the world: multi-threaded interfacing;27814.0;the university of texas at austin;intermediate;computer science;en;8 weeks;49.0;usd;https://www.edx.org/course/embedded-systems-shape-the-world-multi-threaded-in;;;;;
hong kong cinema through a global lens | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;12458.0;university of hong kong;introductory;humanities;en;6 weeks;50.0;usd;https://www.edx.org/course/hong-kong-cinema-through-a-global-lens;;;;;
image processing and analysis for life scientists;8621.0;ýýcole polytechnique fýýdýýrale de lausanne;intermediate;data analysis & statistics;en;7 weeks;199.0;usd;https://www.edx.org/course/image-processing-and-analysis-for-life-scientists;;;;;
la protecciï¿½ï¿½n del m;7654.0;universidad autï¿½ï¿½noma de ma;introductory;law;es;5 weeks;49.0;usd;https://www.edx.org/course/la-proteccion-del-menor;;;;;
globalization: past and future;10127.0;sdg academy;introductory;history;en;4 weeks;25.0;usd;https://www.edx.org/course/globalization-past-and-future;;;;;
star trek: inspiring culture and technology;6521.0;the smithsonian institution;introductory;history;en;7 weeks;40.0;usd;https://www.edx.org/course/star-trek-inspiring-culture-and-technology;;;;;
quï¿½ï¿½ funciona en educaciï¿½ï¿½n: polï¿½ï¿½ticas educativas basadas ;15701.0;inter-american development bank;introductory;education & teacher training;es;10 weeks;25.0;usd;https://www.edx.org/course/que-funciona-en-educacion-politicas-educativas-bas;;;;;
introduction to cloud development with html5; css3; and javascript;;ibm;introductory;computer science;en;4 weeks;99.0;usd;https://www.edx.org/course/introduction-to-cloud-development-with-html5-css3-and-javascript;;;
tools for academic engagement in public policy;5035.0;massachusetts institute of technology;introductory;communication;en;3 weeks;199.0;usd;https://www.edx.org/course/tools-for-academic-engagement-in-public-policy;;;;;
theory of change for development;10736.0;wits university;introductory;social sciences;en;7 weeks;199.0;usd;https://www.edx.org/course/theory-of-change-for-development;;;;;
monozukuri: making things;;tokyo institute of technology;introductory;engineering;en;4 weeks;49.0;usd;https://www.edx.org/course/monozukuri-making-things;;;;;
drug discovery & medicinal chemistry;;davidson college;intermediate;medicine;en;5 weeks;99.0;usd;https://www.edx.org/course/med-001;;;;;
digital biomaterials;;university of hong kong;introductory;medicine;en;4 weeks;149.0;usd;https://www.edx.org/course/digital-biomaterials;;;;;
natural resources for sustainable development;9668.0;sdg academy;intermediate;energy & earth sciences;en;12 weeks;49.0;usd;https://www.edx.org/course/natural-resources-for-sustainable-development;;;;;
omnichannel strategy and management;15860.0;dartmouth college;intermediate;business & management;en;4 weeks;99.0;usd;https://www.edx.org/course/omnichannel-strategy-and-management;;;;;
general overview of cannabis and the industryï¿½ï¿½ï¿½s outlook and profe;5048.0;doane university;introductory;environmental studies;en;4 weeks;199.0;usd;https://www.edx.org/course/general-overview-of-cannabis-and-the-industrys-out;;;;;
amazon sagemaker: simplifying machine learning application development;11765.0;amazon web services;intermediate;computer science;en;4 weeks;99.0;usd;https://www.edx.org/course/amazon-sagemaker-simplifying-machine-learning-appl;;;;;
formulaciï¿½ï¿½n y nomenclatura de compuestos quï¿½;12748.0;universitat politï¿½ï¿½cnica de vale;introductory;chemistry;es;6 weeks;49.0;usd;https://www.edx.org/course/formulacion-y-nomenclatura-de-compuestos-quimicos;;;;;
introducciï¿½ï¿½n a la factura electrï¿;5829.0;logyca;intermediate;economics & finance;es;4 weeks;49.9;usd;https://www.edx.org/course/introduccion-a-la-factura-electronica-2;;;;;
demand and supply analytics;23585.0;columbia university;intermediate;business & management;en;12 weeks;249.0;usd;https://www.edx.org/course/demand-and-supply-analytics;;;;;
advanced algorithmics and graph theory with python;13502.0;imt;intermediate;computer science;en;6 weeks;49.0;usd;https://www.edx.org/course/advanced-algorithmics-and-graph-theory-with-python;;;;;
modern japanese architecture part 1: from meiji restoration to the pacific war;;tokyo institute of technology;intermediate;architecture;en;5 weeks;59.0;usd;https://www.edx.org/course/modern-japanese-architecture-part-1-from-meiji-res;;;;;
diagramas uml estructurales para la ingenierï¿½ï¿½a del soft;5820.0;universitat politï¿½ï¿½cnica de vale;introductory;computer science;es;5 weeks;50.0;usd;https://www.edx.org/course/diagramas-uml-estructurales-para-la-ingenieria-del;;;;;
a-level mathematics for year 12 - course 2: calculus; newtonï¿½ï¿½ï¿½s laws and hypothesis t;6232.0;imperial college london;intermediate;math;en;7 weeks;49.0;usd;https://www.edx.org/course/a-level-mathematics-for-year-12-course-2-calculus;;;;
fundamentos de mecï¿½ï¿½nica para ingenie;14219.0;universitat politï¿½ï¿½cnica de vale;introductory;physics;es;6 weeks;49.0;usd;https://www.edx.org/course/fundamentos-de-mecanica-para-ingenieria;;;;;
leadership and management for pm practitioners in it;21949.0;university of washington;introductory;business & management;en;6 weeks;199.0;usd;https://www.edx.org/course/leadership-and-management-for-pm-practitioners-in;;;;;
entrepreneurship 103: show me the money;15184.0;massachusetts institute of technology;introductory;business & management;en;10 weeks;300.0;usd;https://www.edx.org/course/entrepreneurship-103-show-me-the-money;;;;;
historia de la ï¿½ï¿½;9383.0;universidad carlos iii de madrid;introductory;philosophy & ethics;es;6 weeks;29.0;usd;https://www.edx.org/course/historia-de-la-etica;;;;;
drainage in agriculture: controlling water and salt levels in the soil;;wageningen university & research;advanced;environmental studies;en;5 weeks;49.0;usd;https://www.edx.org/course/drainage-in-agriculture-controlling-water-and-sa-2;;;;;
radio para internet con podcast: creaciï¿½ï¿½n y conceptos bï¿½;6460.0;universitat politï¿½ï¿½cnica de vale;introductory;communication;es;6 weeks;50.0;usd;https://www.edx.org/course/radio-para-internet-con-podcast-creacion-y-concept;;;;;
introducciï¿½ï¿½n a los circuitos elï¿½ï¿;11953.0;universidad galileo;intermediate;electronics;es;5 weeks;49.0;usd;https://www.edx.org/course/introduccion-a-los-circuitos-electricos;;;;;
apï¿½ï¿½ physics 1: challenging conc;12145.0;davidson next;introductory;physics;en;8 weeks;49.0;usd;https://www.edx.org/course/ap-physics-1-challenging-concepts;;;;;
introduction to java programming ï¿½ï¿½ï¿½ ;71203.0;the hong kong university of science and technology;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/introduction-to-java-programming-part-2;;;;;
apï¿½ï¿½ macroecono;29433.0;davidson next;introductory;economics & finance;en;18 weeks;49.0;usd;https://www.edx.org/course/ap-macroeconomics;;;;;
climate change education;12056.0;inter-american development bank;introductory;education & teacher training;en;10 weeks;25.0;usd;https://www.edx.org/course/climate-change-education;;;;;
introducciï¿½ï¿½n al griego clï¿½ï¿½sico; oraciones y filosofï¿½;;universidad autï¿½ï¿½noma de ma;introductory;language;es;5 weeks;49.0;usd;https://www.edx.org/course/aprende-griego-clasico-2;;;;
applied deep learning capstone project;8429.0;ibm;advanced;data analysis & statistics;en;5 weeks;99.0;usd;https://www.edx.org/course/applied-deep-learning-capstone-project;;;;;
fintech ethics and risks;10696.0;university of hong kong;introductory;economics & finance;en;6 weeks;199.0;usd;https://www.edx.org/course/fintech-ethics-and-risks;;;;;
user experience (ux) design: human factors and culture in design | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;23828.0;tsinghua university;advanced;engineering;en;7 weeks;139.0;usd;https://www.edx.org/course/user-experience-ux-design-human-factors-and-cultur;;;;;
the conquest of space: space exploration and rocket science;19926.0;universidad carlos iii de madrid;introductory;engineering;en;7 weeks;129.0;usd;https://www.edx.org/course/the-conquest-of-space-space-exploration-and-rocket;;;;;
business strategy and operations in a biobased economy;;wageningen university & research;advanced;business & management;en;5 weeks;149.0;usd;https://www.edx.org/course/business-strategy-and-operations-in-a-biobased-eco;;;;;
what works in education: evidence-based education policies;5540.0;inter-american development bank;introductory;education & teacher training;en;10 weeks;25.0;usd;https://www.edx.org/course/what-works-in-education-evidence-based-education-p;;;;;
electric cars: business;14199.0;delft university of technology;intermediate;business & management;en;4 weeks;50.0;usd;https://www.edx.org/course/electric-cars-business;;;;;
thermodynamics of materials;;massachusetts institute of technology;intermediate;engineering;en;16 weeks;150.0;usd;https://www.edx.org/course/thermodynamics-of-materials-2;;;;;
mechanics: momentum and energy;14846.0;massachusetts institute of technology;intermediate;physics;en;14 weeks;49.0;usd;https://www.edx.org/course/mechanics-momentum-and-energy;;;;;
co-creating sustainable cities;12415.0;delft university of technology-wageningen university & research-delft university & wageningen university;advanced;social sciences;en;8 weeks;49.0;usd;https://www.edx.org/course/co-creating-sustainable-cities;;;;;
cï¿½ï¿½mo educar teniendo en cuenta la mu;;universidad autï¿½ï¿½noma de ma;introductory;education & teacher training;es;3 weeks;49.0;usd;https://www.edx.org/course/pedagogia-de-la-muerte-para-docentes;;;;;
introduction to animal ethics;6608.0;kyoto university;introductory;philosophy & ethics;en;5 weeks;49.0;usd;https://www.edx.org/course/introduction-to-animal-ethics;;;;;
teamwork & collaboration;;rochester institute of technology;introductory;communication;en;3 weeks;199.0;usd;https://www.edx.org/course/teamwork-collaboration-3;;;;;
grant writing and crowdfunding for public libraries;12853.0;the university of michigan;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/grant-writing-and-crowdfunding-for-public-librarie;;;;;
leading ambitious teaching and learning;24273.0;the university of michigan-microsoft education;advanced;education & teacher training;en;6 weeks;199.0;usd;https://www.edx.org/course/leading-ambitious-teaching-and-learning;;;;;
financing innovative ventures;;the university of maryland, college park-university system of maryland;introductory;business & management;en;4 weeks;149.0;usd;https://www.edx.org/course/financing-innovative-ventures;;;;;
a-level mathematics for year 13 - course 2: general motion; moments and equilibrium; the normal distribution; vectors; differentiation methods; integration methods and differential equations;;imperial college london;intermediate;math;en;7 weeks;49.0;usd;https://www.edx.org/course/a-level-mathematics-for-year-13-course-2
theories of media and technology;;new york university;introductory;art & culture;en;14 weeks;249.0;usd;https://www.edx.org/course/theories-of-media-and-technology;;;;;
introducciï¿½ï¿½n a la estructura de la mat;11859.0;universitat politï¿½ï¿½cnica de vale;introductory;chemistry;es;4 weeks;25.0;usd;https://www.edx.org/course/introduccion-a-la-estructura-de-la-materia;;;;;
batteries; fuel cells; and their role in modern society;11865.0;ural federal university;introductory;science;en;6 weeks;49.0;usd;https://www.edx.org/course/batteries-fuel-cells-and-their-role-in-modern-so-2;;;
communication skills for dialoguing across difference;60943.0;catalyst;introductory;communication;en;1 weeks;25.0;usd;https://www.edx.org/course/communication-skills-for-dialoguing-across-difference;;;;;
social media: how media got social;13616.0;curtin university;introductory;communication;en;4 weeks;139.0;usd;https://www.edx.org/course/social-media-how-media-got-social;;;;;
portfolio management; governance; & the pmo;17299.0;university of washington;introductory;business & management;en;6 weeks;199.0;usd;https://www.edx.org/course/portfolio-management-governance-the-pmo;;;
edx101: overview of creating an edx course;22327.0;edx;introductory;education & teacher training;en;1 weeks;99.0;usd;https://www.edx.org/course/edx101-overview-of-creating-an-edx-course;;;;;
soy docente; ï¿½ï¿½quï¿½ï¿½ miedo! gestiona eficazmente tus e;;universidad autï¿½ï¿½noma de ma;introductory;education & teacher training;es;4 weeks;49.0;usd;https://www.edx.org/course/soy-docente-que-miedo-gestiona-eficazmente-tus-emo;;;;
data analysis for decision making;8342.0;the university of maryland, college park-university system of maryland;advanced;business & management;en;7 weeks;214.0;usd;https://www.edx.org/course/data-analysis-for-decision-making;;;;;
uml class diagrams for software engineering;33710.0;ku leuven university;introductory;computer science;en;3 weeks;49.0;usd;https://www.edx.org/course/uml-class-diagrams-for-software-engineering;;;;;
driving digital innovation through experimentation;16904.0;boston university;advanced;computer science;en;6 weeks;399.0;usd;https://www.edx.org/course/driving-digital-innovation-through-experimentation;;;;;
compilation basics for macroeconomic statistics;6570.0;the international monetary fund;introductory;data analysis & statistics;en;4 weeks;25.0;usd;https://www.edx.org/course/compilation-basics-for-macroeconomic-statistics;;;;;
seguridad vial en amï¿½ï¿½rica latina y el caribe: de la teorï¿½ï¿½a a la;20189.0;inter-american development bank;introductory;engineering;es;10 weeks;25.0;usd;https://www.edx.org/course/seguridad-vial-en-america-latina-y-el-caribe-de-la;;;;;
from fossil resources to biomass: a chemistry perspective;5464.0;wageningen university & research;advanced;energy & earth sciences;en;5 weeks;149.0;usd;https://www.edx.org/course/from-fossil-resources-to-biomass-a-chemistry-persp;;;;;
system dynamics for health sciences;15157.0;wits university;intermediate;medicine;en;9 weeks;139.0;usd;https://www.edx.org/course/system-dynamics-for-health-sciences;;;;;
internet de las cosas (iot) y big data;;universidad del rosario;intermediate;data analysis & statistics;es;4 weeks;49.0;usd;https://www.edx.org/course/internet-de-las-cosas-iot-y-big-data;;;;;
introducciï¿½ï¿½n a ciencias de datos y estadï¿½ï¿½stica bï¿½ï¿½sica p;;tecnolï¿½ï¿½gico de monte;advanced;data analysis & statistics;es;4 weeks;49.99;usd;https://www.edx.org/course/introduccion-a-ciencias-de-datos-y-estadistica-basica-para-negocios;;;;;
introduction to psychological research methods;17087.0;the university of queensland;introductory;humanities;en;7 weeks;99.0;usd;https://www.edx.org/course/introduction-to-psychological-research-methods;;;;;
sustainable packaging in a circular economy;6277.0;delft university of technology;intermediate;design;en;6 weeks;50.0;usd;https://www.edx.org/course/sustainable-packaging-in-a-circular-economy;;;;;
design in healthcare: using patient journey mapping;17946.0;delft university of technology;introductory;design;en;8 weeks;129.0;usd;https://www.edx.org/course/design-in-healthcare-using-patient-journey-mapping;;;;;
el manejo de plagas; malezas y enfermedades en los sistemas de siembra directa;;universidad nacional de cï¿½ï¿½r;intermediate;biology & life sciences;es;4 weeks;99.0;usd;https://www.edx.org/course/el-manejo-de-plagas-malezas-y-enfermedades-en-los-sistemas-de-siembra-directa;;;;
electronic; optical; and magnetic properties of materials;9717.0;massachusetts institute of technology;advanced;engineering;en;15 weeks;150.0;usd;https://www.edx.org/course/electronic-optical-and-magnetic-properties-of-mate;;;
la espaï¿½ï¿½a del qui;13277.0;universidad autï¿½ï¿½noma de ma;introductory;history;es;7 weeks;19.0;usd;https://www.edx.org/course/la-espana-del-quijote;;;;;
risk management for projects;22269.0;university of adelaide;introductory;business & management;en;5 weeks;199.0;usd;https://www.edx.org/course/risk-management-for-projects;;;;;
smithsonianï¿½ï¿½ï¿½s objects that define a;9071.0;the smithsonian institution;introductory;humanities;en;5 weeks;50.0;usd;https://www.edx.org/course/smithsonians-objects-that-define-america;;;;;
creating modern china: the republican period to the present;43045.0;harvard university;introductory;history;en;15 weeks;139.0;usd;https://www.edx.org/course/creating-modern-china-the-republican-period-to-the;;;;;
discover political science;6573.0;universitï¿½ï¿½ catholique de lou;intermediate;social sciences;en;10 weeks;50.0;usd;https://www.edx.org/course/discover-political-science-2;;;;;
data science: inferential thinking through simulations;17505.0;university of california, berkeley;introductory;computer science;en;5 weeks;199.0;usd;https://www.edx.org/course/foundations-of-data-science-inferential-thinking-b;;;;;
programming for data science;41268.0;university of adelaide;introductory;computer science;en;10 weeks;199.0;usd;https://www.edx.org/course/programming-for-data-science;;;;;
public sector debt statistics;;the international monetary fund;intermediate;economics & finance;en;6 weeks;25.0;usd;https://www.edx.org/course/public-sector-debt-statistics;;;;;
sensor fusion and non-linear filtering for automotive systems;9709.0;chalmers university of technology;advanced;engineering;en;6 weeks;299.0;usd;https://www.edx.org/course/sensor-fusion-and-non-linear-filtering-for-automot;;;;;
creaciï¿½ï¿½n musical con soundcool: introducc;;universitat politï¿½ï¿½cnica de vale;introductory;music;es;5 weeks;30.0;usd;https://www.edx.org/course/creacion-musical-con-soundcool-introduccion;;;;;
first nights - berliozï¿½ï¿½ï¿½s symphonie fantastique and program music in the 19th c;8222.0;harvard university;introductory;humanities;en;3 weeks;49.0;usd;https://www.edx.org/course/first-nights-berliozs-symphonie-fantastique-and-pr;;;;;
the quantum internet and quantum computers: howï¿½ï¿½will they change the wo;15014.0;delft university of technology;introductory;science;en;6 weeks;50.0;usd;https://www.edx.org/course/the-quantum-internet-and-quantum-computers-how-w-2;;;;;
research methods: an engineering approach;20444.0;wits university;introductory;engineering;en;8 weeks;169.0;usd;https://www.edx.org/course/research-methods-an-engineering-approach;;;;;
idealismo filosï¿½ï¿½fico y cosmovisiones: cï¿½ï¿½mo hacer mundos c;15349.0;universidad autï¿½ï¿½noma de ma;introductory;philosophy & ethics;es;5 weeks;49.0;usd;https://www.edx.org/course/idealismo-filosofico-y-cosmovisiones-como-hacer-mu;;;;;
rise to leadership: become a ceo;16719.0;babson college;intermediate;business & management;en;4 weeks;199.0;usd;https://www.edx.org/course/rise-to-leadership-become-a-ceo;;;;;
building a cybersecurity toolkit;23275.0;university of washington;introductory;computer science;en;6 weeks;199.0;usd;https://www.edx.org/course/building-a-cybersecurity-toolkit;;;;;
marketing your android apps;;universidad galileo;intermediate;engineering;en;5 weeks;49.0;usd;https://www.edx.org/course/marketing-your-android-apps;;;;;
embedded systems essentials with arm: getting started;;arm education;intermediate;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/embedded-systems-essentials-with-arm-getting-started;;;;;
life with diabetes;12318.0;curtin university;introductory;medicine;en;5 weeks;139.0;usd;https://www.edx.org/course/life-with-diabetes;;;;;
human reproduction;5517.0;university of adelaide;intermediate;biology & life sciences;en;6 weeks;169.0;usd;https://www.edx.org/course/human-reproduction;;;;;
enabling technologies for data science and analytics: the internet of things;71290.0;columbia university;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/enabling-technologies-for-data-science-and-analyti;;;;;
astrophysics: exploring exoplanets;48539.0;australian national university;intermediate;physics;en;9 weeks;50.0;usd;https://www.edx.org/course/astrophysics-exploring-exoplanets;;;;;
unconventional reservoir geomechanics;;stanford university;introductory;energy & earth sciences;en;10 weeks;129.0;usd;https://www.edx.org/course/unconventional-reservoir-geomechanics;;;;;
strategic account management;;queenï¿½ï¿½ï¿½s univ;introductory;business & management;en;6 weeks;149.0;usd;https://www.edx.org/course/strategic-account-management;;;;;
pytorch basics for machine learning;;ibm;introductory;data analysis & statistics;en;5 weeks;39.0;usd;https://www.edx.org/course/pytorch-basics-for-machine-learning;;;;;
diseï¿½ï¿½o y desarrollo de recursos multimedia para la enseï¿½ï¿½anza;14266.0;universidad galileo;intermediate;humanities;es;4 weeks;49.0;usd;https://www.edx.org/course/diseno-y-desarrollo-de-recursos-multimedia-para-la;;;;;
introduction to cloud foundry and cloud native software architecture;24444.0;the linux foundation;introductory;computer science;en;14 weeks;169.0;usd;https://www.edx.org/course/introduction-to-cloud-foundry-and-cloud-native-sof;;;;;
gestiï¿½ï¿½n de compras eficientes para tu emp;;logyca;introductory;engineering;es;5 weeks;25.0;usd;https://www.edx.org/course/gestion-de-compras-eficientes-para-tu-empresa;;;;;
know hbv and hcv;;stanford university;introductory;medicine;en;1 weeks;50.0;usd;https://www.edx.org/course/know-hbv-and-hcv;;;;;
the supreme court & american politics;6216.0;university of baltimore-university system of maryland;introductory;law;en;8 weeks;29.0;usd;https://www.edx.org/course/the-supreme-court-american-politics;;;;;
sales enablement & analytics;;queenï¿½ï¿½ï¿½s univ;introductory;business & management;en;6 weeks;149.0;usd;https://www.edx.org/course/sales-enablement-analytics;;;;;
inversiï¿½ï¿½n extranjera como motor del desarrollo para amï¿½ï¿½rica latina y e;16423.0;inter-american development bank;intermediate;business & management;es;10 weeks;25.0;usd;https://www.edx.org/course/inversion-extranjera-como-motor-del-desarrollo-par;;;;;
