course_title,url,price,num_subscribers,level,content_duration,subject,language
Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,200,453,Intermediate,3.0,Business Finance,en
Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,20,2437,For all,1.5,Business Finance,en
Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,30,5057,Introductory,1.0,Business Finance,en
Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,95,6092,Introductory,1.5,Business Finance,en
EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,95,4530,For all,1.5,Business Finance,en
Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,60,6967,For all,1.0,Business Finance,en
Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,20,727,Introductory,3.0,Business Finance,en
Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,20,1560,For all,3.0,Business Finance,en
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,200,1047,For all,3.5,Business Finance,en
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,125,1045,Intermediate,1.0,Business Finance,en
Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,200,3050,Introductory,2.0,Business Finance,en
Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,200,2988,For all,4.5,Business Finance,en
Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,35,2623,Introductory,1.0,Business Finance,en
Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,200,1924,For all,46.5,Business Finance,en
"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,200,3804,For all,5.0,Business Finance,en
Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,120,4133,Introductory,4.0,Business Finance,en
Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,195,1420,For all,2.5,Business Finance,en
Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,125,1120,Introductory,3.0,Business Finance,en
"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,200,668,For all,1.0,Business Finance,en
Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,25,4086,For all,1.5,Business Finance,en
"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,200,1033,For all,2.0,Business Finance,en
Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,20,832,For all,1.5,Business Finance,en
Forex Trading Like Banks – Step by Step with Live Examples,https://www.udemy.com/forex-trading-like-banks-step-by-step-with-live-examples/,195,677,For all,4.5,Business Finance,en
Fundamentals of Investing!,https://www.udemy.com/investment-basics-lets-invest-series/,20,3125,Introductory,2.0,Business Finance,en
Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,50,1081,For all,1.5,Business Finance,en
Learn to Trade Forex and Stocks: From Beginner to Advanced,https://www.udemy.com/tradeforex/,200,1645,For all,2.0,Business Finance,en
"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,120,3348,For all,3.0,Business Finance,en
Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,200,939,For all,1.5,Business Finance,en
The Ultimate Guide to Dividend & Dividend Growth Investing,https://www.udemy.com/investing-learn-how-to-build-a-dividend-portfolio-step-by-step/,200,2115,For all,5.5,Business Finance,en
Charting for Beginners 101: Technical Analysis Demystified,https://www.udemy.com/charting-for-beginners-101/,45,2230,For all,1.5,Business Finance,en
Build a DCF Valuation Model,https://www.udemy.com/build-a-dcf-valuation-model/,50,2053,For all,5.5,Business Finance,en
Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,80,1793,Introductory,10.0,Business Finance,en
Introduction to Cryptocurrencies and Blockchain,https://www.udemy.com/introduction-to-cryptocurrencies/,0,3775,Introductory,2.0,Business Finance,en
